Jahr,Tage innerhalb von Hitzewellen (Anzahl),Hitzewellen (unterschiedlicher Länge + Anzahl)
1951,0,0
1952,0,0
1953,3,1
1954,0,0
1955,0,0
1956,0,0
1957,3,1
1958,0,0
1959,5,1
1960,0,0
1961,3,1
1962,0,0
1963,3,1
1964,0,0
1965,0,0
1966,3,1
1967,0,0
1968,4,1
1969,9,1
1970,0,0
1971,0,0
1972,0,0
1973,3,1
1974,0,0
1975,9,1
1976,12,3
1977,0,0
1978,3,1
1979,0,0
1980,0,0
1981,0,0
1982,10,2
1983,11,3
1984,0,0
1985,0,0
1986,3,1
1987,0,0
1988,0,0
1989,3,1
1990,3,1
1991,0,0
1992,10,3
1993,0,0
1994,21,3
1995,12,3
1996,7,2
1997,7,2
1998,0,0
1999,9,2
2000,5,1
2001,0,0
2002,5,1
2003,11,2
2004,4,1
2005,3,1
2006,16,3
2007,3,1
2008,9,2
2009,0,0
2010,18,4
2011,0,0
2012,3,1
2013,7,2
2014,4,1
2015,6,1
2016,3,1
2017,0,0
2018,22,3
2019,14,3
2020,16,2
2021,5,1
