Jahr,MThw St.Pauli,MTnw St.Pauli,MThw Cuxhaven,MTnw Cuxhaven
1951,157.0,-80.3,127.3,-148.5
1952,169.6,-73.8,139.4,-138.8
1953,172.4,-73.1,139.3,-148.5
1954,160.8,-81.7,131.2,-147.0
1955,183.0,-64.8,142.2,-149.9
1956,178.9,-65.3,139.6,-150.3
1957,179.9,-65.0,140.2,-149.4
1958,182.1,-67.0,139.9,-151.7
1959,166.6,-80.8,135.6,-149.5
1960,155.9,-93.9,125.1,-154.7
1961,190.3,-66.3,150.1,-138.6
1962,185.9,-73.8,148.2,-142.3
1963,154.1,-99.4,127.3,-156.8
1964,163.5,-94.5,133.2,-148.2
1965,187.3,-79.2,143.8,-145.2
1966,188.8,-76.0,146.3,-145.8
1967,199.2,-69.0,153.4,-135.8
1968,189.3,-85.1,148.1,-143.2
1969,174.4,-98.3,136.7,-154.3
1970,186.1,-91.6,144.9,-144.2
1971,181.1,-98.6,139.9,-147.8
1972,169.0,-115.3,130.7,-151.7
1973,179.4,-109.7,139.1,-144.7
1974,190.9,-109.4,146.4,-144.7
1975,201.0,-106.8,150.3,-147.3
1976,184.3,-130.9,139.4,-154.7
1977,194.5,-133.9,141.0,-152.0
1978,207.4,-127.8,150.5,-151.9
1979,195.1,-137.1,142.0,-164.0
1980,210.1,-127.3,151.2,-158.5
1981,216.6,-122.3,155.8,-152.2
1982,211.8,-124.2,155.4,-152.9
1983,215.7,-127.1,159.8,-140.4
1984,201.1,-141.6,146.5,-150.5
1985,194.2,-145.4,142.5,-154.6
1986,197.6,-139.8,142.9,-153.2
1987,207.2,-130.8,149.2,-156.9
1988,209.2,-127.3,154.5,-148.4
1989,204.7,-131.8,151.2,-141.6
1990,212.9,-136.6,157.6,-136.3
1991,195.4,-155.7,140.8,-152.6
1992,201.6,-147.4,145.9,-146.9
1993,207.5,-155.4,149.0,-147.2
1994,213.7,-144.9,153.0,-149.0
1995,223.5,-132.7,161.8,-142.0
1996,188.1,-164.1,135.1,-165.3
1997,209.6,-148.5,152.4,-148.8
1998,206.2,-152.0,149.2,-141.7
1999,213.4,-146.3,154.9,-147.1
2000,213.5,-146.4,156.1,-138.2
2001,204.2,-158.1,149.1,-144.2
2002,223.5,-141.8,160.3,-140.7
2003,202.6,-154.7,147.8,-150.8
2004,206.3,-156.5,151.8,-138.8
2005,213.4,-153.1,153.2,-142.3
2006,205.6,-156.6,147.0,-146.0
2007,221.5,-143.8,160.6,-132.0
2008,218.4,-147.6,160.0,-136.6
2009,204.3,-161.8,147.1,-142.8
2010,210.3,-157.9,149.8,-146.0
2011,213.5,-152.0,152.0,-145.3
2012,216.1,-158.2,155.3,-141.0
2013,208.3,-164.0,144.8,-151.8
2014,212.4,-167.3,153.0,-140.4
2015,214.7,-167.5,153.0,-136.2
2016,217.6,-165.8,156.2,-133.7
2017,219.3,-167.5,155.1,-135.0
2018,213.6,-169.3,154.8,-141.7
2019,209.5,-164.6,153.1,-135.3
2020,214.1,-163.9,157.4,-132.1
2021,215.1,-171.8,151.2,-140.4
