Jahr,Überschreitungen in Form von 1er Tiden,Überschreitungen in Form von 2er Tiden,Überschreitungen in Form von 3er Tiden,Überschreitungen in Form von 4er Tiden,Überschreitungen in Form von 5er Tiden und länger
1960,,2,,,
1961,2,4,3,,
1962,3,6,6,,
1963,3,4,,,
1964,7,,3,,
1965,5,4,,,
1966,3,2,3,,
1967,16,8,6,,
1968,7,4,,4,
1969,6,4,,,
1970,6,6,,,
1971,1,8,,,
1972,,2,3,,
1973,3,,,,
1974,4,10,9,4,
1975,9,10,3,4,5
1976,5,6,,,8
1977,7,,,4,
1978,6,4,15,4,
1979,4,4,,,
1980,8,14,,4,
1981,17,4,9,4,
1982,7,10,3,,15
1983,12,8,9,4,10
1984,7,6,15,,
1985,8,0,6,,
1986,7,2,9,4,
1987,6,8,,4,
1988,12,8,3,,
1989,14,8,6,,
1990,10,10,12,8,9
1991,9,6,3,4,
1992,5,12,6,,
1993,9,14,,4,11
1994,9,22,9,4,
1995,17,14,6,8,
1996,3,2,,,
1997,13,14,,4,
1998,14,4,,4,5
1999,14,2,6,8,
2000,9,16,9,,
2001,4,4,,4,6
2002,16,10,12,,5
2003,8,6,3,,
2004,12,6,3,4,
2005,14,4,9,8,
2006,9,4,,4,
2007,15,14,3,8,
2008,17,14,9,8,
2009,13,6,,,
2010,8,2,6,,
2011,13,8,3,,
2012,14,10,9,,5
2013,12,2,3,,
2014,8,8,3,,5
2015,8,6,15,4,7
2016,22,4,9,,
2017,10,6,12,4,
2018,15,10,6,,
2019,14,10,6,,
2020,16,6,3,,6
2021,10,6,3,4,
