Jahr,Heiße Tage (Tmax ? 30°C),Eistage (Tmax < 0°C)
1951,2.0,-3.82
1952,1.1,-12.83
1953,4.5,-12.58
1954,1.3,-30.88
1955,0.0,-26.56
1956,0.5,-34.42
1957,4.7,-5.89
1958,0.0,-13.91
1959,5.7,-19.30
1960,0.7,-15.77
1961,2.6,-17.53
1962,0.0,-22.95
1963,4.4,-58.59
1964,3.5,-24.69
1965,0.0,-12.53
1966,2.6,-29.75
1967,0.8,-8.24
1968,2.6,-19.82
1969,9.2,-45.05
1970,1.4,-35.30
1971,2.6,-15.52
1972,2.8,-17.64
1973,5.0,-6.88
1974,1.5,-0.60
1975,8.4,-1.81
1976,7.2,-19.34
1977,0.4,-7.04
1978,2.1,-24.70
1979,2.2,-33.31
1980,0.1,-26.70
1981,1.7,-24.80
1982,9.2,-18.92
1983,9.3,-10.84
1984,0.9,-11.49
1985,1.6,-40.19
1986,4.0,-33.41
1987,0.8,-30.33
1988,0.0,-4.24
1989,1.9,-7.23
1990,3.1,-3.92
1991,2.6,-13.98
1992,4.0,-7.99
1993,0.0,-14.40
1994,17.5,-9.60
1995,12.0,-19.02
1996,4.2,-43.17
1997,7.1,-15.69
1998,2.1,-12.21
1999,5.6,-4.63
2000,4.9,-6.08
2001,3.2,-16.06
2002,6.0,-15.39
2003,11.3,-14.56
2004,3.4,-7.56
2005,4.3,-10.84
2006,12.8,-13.07
2007,3.0,-4.78
2008,8.5,-4.84
2009,2.4,-13.51
2010,10.3,-56.07
2011,1.3,-11.15
2012,3.5,-22.03
2013,6.6,-18.72
2014,3.9,-13.55
2015,7.8,-2.03
2016,6.2,-10.78
2017,0.0,-7.76
2018,18.3,-8.04
2019,13.2,-3.86
2020,12.7,-0.24
2021,3.4,-10.60
