Jahr,Maximale Wärmeinselintensität in K,Mittlere Wärmeinselintensität in K,Wärmeinselintensität <1 Kelvin (Anzahl),Wärmeinselintensität 1-3 Kelvin (Anzahl),Wärmeinselintensität >3-6 Kelvin (Anzahl),Wärmeinselintensität >6 Kelvin (Anzahl)
2005,6.1,2.1,8,73,10,1
2006,6.4,2.2,5,72,14,1
2007,4.9,2.3,3,75,14,0
2008,5.7,2.4,4,65,23,0
2009,6.2,2.4,1,74,16,1
2010,6.5,2.5,6,63,22,1
2011,4.1,2.0,9,74,9,0
2012,5.8,2.8,0,58,34,0
2013,5.4,2.6,2,59,31,0
2014,6.4,2.7,0,65,26,1
2015,5.6,2.7,1,66,25,0
2016,6.1,2.6,2,64,25,1
2017,6.0,2.3,3,78,11,0
2018,7.4,2.3,1,74,16,1
2019,6.9,2.6,0,73,18,1
2020,5.3,2.6,2,63,27,0
2021,6.3,2.6,2,66,23,1
