Jahr,Vegetationsbeginn Tage im Jahr,Gleitendes 11-Jahres-Mittel Vegetationsbeginn Tage im Jahr,Beginn der Apfelblüte (beobachtet) Tage im Jahr,Gleitendes 11-Jahres-Mittel Apfelblüte (beobachtet) Tage im Jahr,Vegetationsende Tage im Jahr,Gleitendes 11-Jahres-Mittel Vegetationsende Tage im Jahr
1951,101,-,131,-,297,-
1952,100,-,120,-,291,-
1953,85,-,120,-,297,-
1954,95,-,133,-,297,-
1955,110,-,137,-,300,-
1956,107,95.27,139,126.18,293,296.82
1957,86,95.91,121,125.70,293,296.64
1958,118,96.00,135,127.10,301,297.09
1959,81,98.18,111,127.89,300,296.91
1960,91,98.64,128,128.00,295,296.73
1961,74,96.00,113,126.89,301,296.64
1962,108,93.00,-,125.33,295,297.36
1963,101,93.45,-,125.56,296,298.18
1964,109,92.91,-,126.00,295,298.18
1965,100,95.82,134,129.44,295,297.91
1966,81,96.27,127,129.56,299,298.27
1967,74,97.27,125,131.11,301,297.45
1968,91,95.36,123,131.20,302,297.55
1969,112,94.18,139,129.30,301,297.45
1970,113,93.09,142,129.09,297,298.18
1971,96,93.09,129,128.82,299,298.64
1972,85,92.64,127,128.82,292,298.36
1973,87,93.73,132,129.73,296,297.82
1974,88,94.73,115,131.09,295,297.27
1975,97,94.00,127,130.73,303,296.91
1976,100,91.64,131,129.36,300,296.91
1977,76,91.27,127,129.64,296,297.18
1978,86,91.73,135,129.91,295,298.09
1979,102,93.45,138,130.00,296,298.45
1980,104,94.09,135,132.00,297,298.82
1981,87,94.73,127,132.73,297,298.00
1982,92,95.09,132,133.36,302,297.73
1983,90,97.00,130,133.64,302,298.00
1984,106,95.91,133,132.27,300,298.73
1985,95,93.00,137,129.45,299,299.18
1986,104,90.45,135,128.55,294,299.55
1987,104,89.55,138,128.73,297,299.73
1988,97,89.55,130,127.27,299,298.91
1989,74,89.36,120,126.64,303,298.36
1990,70,87.45,107,125.64,301,298.91
1991,76,88.73,125,124.45,301,298.82
1992,77,85.82,129,123.45,299,299.73
1993,92,83.36,116,121.55,293,299.73
1994,88,82.18,123,121.00,296,300.36
1995,85,83.00,122,120.91,306,300.18
1996,109,85.18,124,122.30,298,300.45
1997,72,85.73,124,121.70,304,300.55
1998,77,86.91,117,121.00,297,300.73
1999,84,86.91,124,121.20,306,301.73
2000,83,87.36,119,120.70,301,302.27
2001,94,89.18,-,120.80,304,302.45
2002,82,86.09,119,119.50,302,302.45
2003,90,86.27,122,119.00,301,302.18
2004,92,86.73,118,118.60,304,302.55
2005,93,87.00,118,118.30,302,301.82
2006,105,87.82,123,117.70,308,301.82
2007,75,86.18,111,117.73,298,301.55
2008,74,88.73,119,118.36,301,301.55
2009,82,87.18,113,117.36,301,302.00
2010,87,86.09,121,117.64,298,301.64
2011,92,85.82,113,117.60,301,301.82
2012,76,83.18,118,117.00,301,301.27
2013,110,85.27,126,117.67,302,302.09
2014,73,85.36,111,116.56,306,302.36
2015,80,84.82,121,116.00,300,303.00
2016,90,84.18,-,115.38,304,303.36
2017,76,83.40,-,115.71,302,303.60
2018,98,-,117,-,307,-
2019,75,-,109,-,304,-
2020,76,-,108,-,308,-
2021,80,-,-,-,302,-
