Jahr,Abweichung Äpfel,Abweichung Birnen,Abweichung Pflaumen,Abweichung Süßkirschen
2008,30.59,-11.62,-29.67,-49.48
2009,7.86,72.56,25.80,15.90
2010,-25.76,-11.81,-10.80,-40.84
2011,-12.61,40.22,23.65,27.53
2012,-21.70,5.82,37.78,-10.78
2013,-32.06,-8.36,-24.34,15.65
2014,20.20,3.76,9.53,69.10
2015,-13.41,-0.94,-31.39,45.12
2016,21.25,-17.32,-55.84,-17.43
2017,-19.00,-13.91,-73.32,-28.16
2018,22.28,20.02,6.86,12.65
2019,15.10,16.51,68.86,-12.03
2020,7.44,27.50,22.58,-0.63
2021,0.92,-10.19,31.43,-35.55
