Jahr,Uebberschreitung des mittleren hoechsten GW-stands 1971-2000 - Referenzmessstellen Hamburg Wasser,Unterschreitung des mittleren niedrigsten GW-stands 1971-2000 - Referenzmessstellen Hamburg Wasser
1971,8.00,0.00
1972,5.75,-0.25
1973,0.75,-6.25
1974,0.00,-8.25
1975,2.00,-3.00
1976,0.00,-5.00
1977,0.00,-10.75
1978,0.00,-9.25
1979,0.75,-7.00
1980,0.50,-4.50
1981,6.33,-1.00
1982,10.25,0.00
1983,9.25,0.00
1984,8.75,0.00
1985,5.50,0.00
1986,2.75,-1.00
1987,1.00,-2.00
1988,7.00,0.00
1989,6.00,-1.33
1990,1.00,-3.50
1991,0.00,-6.25
1992,0.00,-9.00
1993,0.00,-10.00
1994,4.50,-2.75
1995,9.75,0.00
1996,4.50,-3.00
1997,0.25,-6.50
1998,0.00,-10.00
1999,0.25,-5.25
2000,1.00,-3.00
2001,0.00,-10.00
2002,5.25,-2.50
2003,7.00,0.00
2004,4.50,-0.25
2005,0.00,0.00
2006,0.50,-5.00
2007,0.33,-6.33
2008,4.67,-0.33
2009,3.50,-0.50
2010,0.00,0.00
2011,0.00,0.00
2012,0.00,-0.33
2013,0.00,-7.67
2014,0.00,-10.25
2015,0.00,-10.67
2016,0.00,-9.00
2017,0.00,-9.25
2018,1.75,-5.25
2019,0.00,-9.75
2020,0.00,-10.75
2021,0.00,-11.50
