Jahr,Überschreitung des mittleren höchsten Grundwasserstands 1971-2021,Unterschreitung des mittleren niedrigsten Grundwasserstands 1971-2021
1961,0,-4
1962,0,0
1963,0,0
1964,2,0
1965,0,0
1966,8,0
1967,11,0
1968,5,-3
1969,3,0
1970,2,0
1971*,0,0
1972,0,-3
1973,0,-1
1974,1,-1.5
1975,4.5,-1
1976,0,-6.5
1977,0,-5
1978,0,-0.5
1979,6,0
1980,1.5,0
1981,6,0
1982,4.5,0
1983,5.5,-2
1984,1,-1.5
1985,1,0
1986,1.5,0
1987,2.5,0
1988,5.5,0
1989,0,-0.5
1990,0,-1
1991,1.5,0
1992,1.5,-2
1993,0,-2
1994,6.5,0
1995,3,0
1996,0,-9.5
1997,0,-8
1998,0,-2.5
1999,6.5,-1.5
2000,2,-2.5
2001,0,-3.5
2002,7,0
2003,3.5,-2
2004,0,-3.5
2005,2,-1.5
2006,0,-1.5
2007,3.5,-0.5
2008,5,0
2009,0,-1.5
2010,1,-2.5
2011,2,-0.5
2012,2.5,-1
2013,0.5,-1
2014,0,-3.5
2015,0,-4
2016,2,-1.5
2017,0,-3
2018,6,-2.5
2019,0,-9.5
2020,1,-4.5
2021,0,-9
