Jahr,Alster/Pegel Bäckerbrücke: MQ hyWinter in m³/s,Alster/Pegel Bäckerbrücke: MQ hySommer in m³/s, Wandsbeker Allee/Wandse/Pegel: MQ hyWinter in m³/s,Wandsbeker Allee/Wandse/Pegel: MQ hySommer in m³/s
1969,4.57,-1.82,0.71,-0.38
1970,4.70,-2.83,0.66,-0.43
1971,4.78,-1.24,0.65,-0.29
1972,2.44,-1.88,0.32,-0.32
1973,2.37,-1.69,0.31,-0.30
1974,4.38,-2.34,0.69,-0.40
1975,6.24,-1.22,0.94,-0.33
1976,2.52,-0.71,0.40,-0.23
1977,2.95,-1.85,0.47,-0.41
1978,4.20,-2.42,0.68,-0.48
1979,4.32,-2.24,0.71,-0.46
1980,4.35,-3.75,0.75,-0.77
1981,7.19,-3.04,1.38,-0.74
1982,5.04,-1.89,0.99,-0.37
1983,5.90,-2.11,1.01,-0.49
1984,4.70,-2.28,0.75,-0.47
1985,3.88,-1.91,0.65,-0.43
1986,4.87,-2.17,0.78,-0.39
1987,4.96,-3.71,0.71,-0.57
1988,7.01,-2.62,1.25,-0.38
1989,4.16,-2.06,0.65,-0.42
1990,4.05,-2.58,0.60,-0.39
1991,4.69,-2.44,0.63,-0.41
1992,5.15,-1.92,0.83,-0.40
1993,4.08,-3.06,0.68,-0.59
1994,7.95,-2.52,1.66,-0.57
1995,7.23,-1.71,1.54,-0.54
1996,2.02,-1.37,0.41,-0.33
1997,3.13,-1.90,0.41,-0.61
1998,3.86,-3.01,0.64,-0.58
1999,6.43,-1.23,1.15,-0.31
2000,5.24,-1.15,1.05,-0.33
2001,2.63,-2.55,0.49,-0.73
2002,6.82,-4.00,1.41,-0.91
2003,4.41,-1.55,0.86,-0.38
2004,3.76,-2.23,0.69,-0.48
2005,3.62,-1.69,0.78,-0.45
2006,3.19,-1.75,0.70,-0.45
2007,3.95,-2.75,0.87,-0.74
2008,5.12,-1.43,1.20,-0.45
2009,2.59,-0.97,0.56,-0.32
2010,3.71,-1.48,0.74,-0.51
2011,4.15,-1.65,0.79,-0.50
2012,3.92,-1.26,1.02,-0.53
2013,3.20,-1.86,0.63,-0.54
2014,3.08,-1.30,0.54,-0.39
2015,4.07,-1.09,0.71,-0.40
2016,4.30,-1.58,0.76,-0.44
2017,3.09,-3.15,0.54,-0.74
2018,6.10,-1.00,1.03,-0.31
2019,2.44,-1.38,0.43,-0.39
2020,4.86,-1.09,0.72,-0.33
2021,2.56,-2.12,0.40,-0.44
