Jahr,Pegel Neu Darchau MQ hydrologischer Winter in m³/s,Pegel Neu Darchau MQ hydrologischer Sommer in m³/s,Pegel Neu Darchau MQ hydrologischer Winter: Mittel 1961-1990 inm³/s,Pegel Neu Darchau MQ hydrologischer Sommer: Mittel 1961-1990 in m³/s
1961,1092,-762,891,-593
1962,879,-554,891,-593
1963,446,-379,891,-593
1964,472,-334,891,-593
1965,856,-1030,891,-593
1966,1138,-864,891,-593
1967,1388,-739,891,-593
1968,1074,-611,891,-593
1969,936,-673,891,-593
1970,829,-803,891,-593
1971,863,-517,891,-593
1972,464,-493,891,-593
1973,512,-395,891,-593
1974,598,-494,891,-593
1975,1367,-540,891,-593
1976,788,-280,891,-593
1977,645,-688,891,-593
1978,853,-681,891,-593
1979,1096,-644,891,-593
1980,1070,-941,891,-593
1981,1179,-820,891,-593
1982,1475,-446,891,-593
1983,744,-508,891,-593
1984,559,-559,891,-593
1985,675,-457,891,-593
1986,788,-627,891,-593
1987,1269,-838,891,-593
1988,1275,-488,891,-593
1989,780,-329,891,-593
1990,613,-308,891,-593
1991,497,-311,891,-593
1992,670,-316,891,-593
1993,588,-376,891,-593
1994,1241,-518,891,-593
1995,1021,-760,891,-593
1996,685,-659,891,-593
1997,810,-485,891,-593
1998,598,-420,891,-593
1999,1246,-401,891,-593
2000,951,-362,891,-593
2001,583,-513,891,-593
2002,1126,-856,891,-593
2003,1388,-297,891,-593
2004,571,-370,891,-593
2005,911,-482,891,-593
2006,863,-553,891,-593
2007,666,-498,891,-593
2008,1117,-377,891,-593
2009,770,-453,891,-593
2010,874,-898,891,-593
2011,1376,-541,891,-593
2012,877,-395,891,-593
2013,1016,-964,891,-593
2014,565,-432,891,-593
2015,670,-290,891,-593
2016,659,-346,891,-593
2017,594,-443,891,-593
2018,832,-240,891,-593
2019,536,-254,891,-593
2020,457,-315,891,-593
2021,625,-504,891,-593
