Jahr ,Pegel Bäckerbrücke/Alster: Niedrigwassertage im WHWinter (Anzahl),Pegel Bäckerbrücke/Alster: Niedrigwassertage im WHSommer (Anzahl),Pegel Wandsbeker Allee/Wandse: Niedrigwassertage im WHWinter (Anzhal),Pegel Wandsbeker Allee/Wandse: Niedrigwassertage im WHSommer (Anzahl)
1969,25,-13,5,-5
1970,-,-14,60,-16
1971,51,-56,24,-12
1972,36,-6,107,-27
1973,2,-26,102,-7
1974,22,-,28,-16
1975,67,-48,2,-27
1976,48,-143,91,-83
1977,2,-10,65,-11
1978,6,-6,,-4
1979,1,-,16,-10
1980,-,-,3,-4
1981,-,-,-,0
1982,1,-,-,-46
1983,-,-,7,-9
1984,-,-,15,-8
1985,-,-,7,-14
1986,-,-,10,-38
1987,-,-,22,
1988,-,-,-,-21
1989,1,-,4,-29
1990,-,-,28,-54
1991,-,-,34,-33
1992,-,-,1,-33
1993,-,-,9,-16
1994,-,-,-,-19
1995,26,-,-,-
1996,17,-3,48,-77
1997,3,-,74,-
1998,-,-,18,-8
1999,19,-4,,-26
2000,23,-5,,-21
2001,-,-9,35,
2002,-,-,-,-
2003,15,-9,-,-16
2004,-,-,15,-2
2005,1,-7,-,-6
2006,-,-3,3,-5
2007,7,-,2,-
2008,-,-25,-,-8
2009,16,-67,10,-27
2010,-,-53,13,-4
2011,47,-14,8,-
2012,2,-22,-,-4
2013,-,-31,1,-
2014,40,-49,1,-
2015,10,-59,12,-
2016,6,-,-,-
2017,-,-,28,-
2018,32,-42,-,-
2019,18,-14,55,-5
2020,43,-13,13,-5
2021,-,-,51,-
