Jahr,Bäckerbrücke/Alster: Hochwassertage im hyWinter (Anzahl),Bäckerbrücke/Alster: Hochwassertage im hySommer (Anzahl)
1969,,-1
1970,1,-7
1971,5,
1972,,
1973,,
1974,,-4
1975,4,
1976,1,
1977,,
1978,,-1
1979,3,
1980,,-9
1981,4,-7
1982,,
1983,1,-4
1984,1,
1985,,
1986,,
1987,2,-4
1988,3,-3
1989,,-3
1990,,
1991,3,-6
1992,,-3
1993,1,-5
1994,6,
1995,4,
1996,,
1997,,-2
1998,2,-7
1999,2,
2000,,
2001,,-5
2002,7,-20
2003,1,-1
2004,1,-1
2005,,
2006,,
2007,,-3
2008,3,
2009,,
2010,1,
2011,7,
2012,,
2013,,-8
2014,,
2015,5,
2016,,
2017,,-8
2018,2,
2019,,
2020,2,
2021,,
