Jahr,Bäckerbrücke/Alster: Hochwassertage im hyWinter (Anzahl),Bäckerbrücke/Alster: Hochwassertage im hySommer (Anzahl),Wandsbeker Allee/Wandse: Hochwassertage im hyWinter (Anzahl),Wandsbeker Allee/Wandse: Hochwassertage im hySommer (Anzahl)
1969,-,-1,-,-
1970,1,-7,-,-
1971,5,-,-,-
1972,-,-,-,-
1973,-,-,-,-
1974,-,-4,-,-
1975,4,-,1,-
1976,1,-,-,-
1977,-,-,-,-1
1978,-,-1,-,-
1979,3,-,1,-
1980,-,-9,-,-1
1981,4,-7,6,-1
1982,-,-,-,-
1983,1,-4,2,-1
1984,1,-,-,-
1985,-,-,1,-
1986,-,-,-,-
1987,2,-4,1,-
1988,3,-3,2,-
1989,,-3,-,-1
1990,-,-,-,-
1991,3,-6,-,-1
1992,-,-3,-,-
1993,1,-5,-,-1
1994,6,-,7,-1
1995,4,-,4,-
1996,-,-,-,-1
1997,-,-2,-,-1
1998,2,-7,-,-5
1999,2,-,-,-
2000,-,-,1,-
2001,-,-5,-,-1
2002,7,-20,7,-6
2003,1,-1,1,-
2004,1,-1,-,-
2005,-,-,-,-1
2006,,-,-,-
2007,-,-3,-,-1
2008,3,-,3,-
2009,-,-,-,-
2010,1,-,-,-
2011,7,-,3,-
2012,-,-,1,-
2013,-,-8,-,-2
2014,-,-,-,-
2015,5,-,1,-
2016,-,-,1,-
2017,-,-8,-,-2
2018,2,-,3,-
2019,-,-,-,-
2020,2,-,1,-
2021,-,-,-,-
