Jahr,Pegel Neu Darchau Niedrigwassertage Winter Anzahl,Pegel Neu Darchau Niedrigwassertage Sommer Anzahl
1961,10,0
1962,122,0
1963,82,-68
1964,17,-91
1965,0,0
1966,0,0
1967,0,0
1968,0,-1
1969,70,-10
1970,0,0
1971,58,-51
1972,25,-4
1973,33,-70
1974,16,0
1975,3,-12
1976,52,-102
1977,0,0
1978,1,-2
1979,0,0
1980,0,0
1981,0,0
1982,50,-54
1983,55,-44
1984,9,0
1985,43,-17
1986,0,-1
1987,0,0
1988,0,-10
1989,30,-105
1990,59,-104
1991,85,-84
1992,53,-111
1993,6,-44
1994,0,-28
1995,0,-22
1996,0,0
1997,53,-36
1998,0,-57
1999,54,-57
2000,67,-78
2001,0,0
2002,0,0
2003,95,-105
2004,48,-65
2005,25,-11
2006,42,-30
2007,0,-9
2008,28,-95
2009,18,-34
2010,0,-8
2011,0,-2
2012,8,-47
2013,0,0
2014,0,-40
2015,41,-120
2016,13,-59
2017,0,-18
2018,90,-122
2019,114,-107
2020,44,-132
2021,9,-7
