Jahr,Mitteltemperatur von April bis Oktober in °C,Mitteltemperatur vom 15.5. bis 15.9. in °C
1994,16.13,19.45
1995,16.08,18.98
1996,14.97,17.75
1997,15.81,20.03
1998,-,-
1999,16.62,19.51
2000,16.42,18.48
2001,16.06,18.96
2002,16.05,19.48
2003,16.59,20.28
2004,15.88,18.55
2005,-,-
2006,17.35,20.16
2007,16.94,18.78
2008,16.56,19.34
2009,16.81,19.39
2010,16.20,19.43
2011,16.53,18.61
2012,15.78,18.92
2013,16.18,19.58
2014,17.49,19.97
2015,16.10,18.99
2016,16.91,19.99
2017,16.44,19.34
2018,17.71,21.56
2019,17.19,20.10
2020,17.47,20.18
2021,16.73,20.06
