Jahr,Jahressumme (hydrologisches Jahr) in l/m²,gleitende 11-Jahressumme in l/m²,Mittel 1961-1990 in l/m²,Mittel 1991-2000 in l/m²
1882,623.4,-,749.95,775.49
1883,568.3,-,749.95,775.49
1884,760.9,-,749.95,775.49
1885,697.2,-,749.95,775.49
1886,528.7,-,749.95,775.49
1887,507.0,658.61,749.95,775.49
1888,749.0,656.87,749.95,775.49
1889,804.5,677.32,749.95,775.49
1890,724.5,672.36,749.95,775.49
1891,688.5,679.45,749.95,775.49
1892,592.7,693.63,749.95,775.49
1893,604.2,715.38,749.95,775.49
1894,793.3,700.72,749.95,775.49
1895,706.4,688.76,749.95,775.49
1896,775.2,678.98,749.95,775.49
1897,684.7,692.63,749.95,775.49
1898,746.3,710.80,749.95,775.49
1899,587.7,707.02,749.95,775.49
1900,673.0,701.04,749.95,775.49
1901,617.0,697.85,749.95,775.49
1902,838.7,679.68,749.95,775.49
1903,792.6,675.54,749.95,775.49
1904,562.6,659.49,749.95,775.49
1905,727.4,680.51,749.95,775.49
1906,671.3,671.68,749.95,775.49
1907,575.3,683.42,749.95,775.49
1908,639.2,660.67,749.95,775.49
1909,569.7,665.81,749.95,775.49
1910,819.0,675.06,749.95,775.49
1911,575.8,689.59,749.95,775.49
1912,746.2,686.89,749.95,775.49
1913,588.4,710.51,749.95,775.49
1914,849.1,701.30,749.95,775.49
1915,664.5,719.01,749.95,775.49
1916,887.3,694.95,749.95,775.49
1917,641.6,705.47,749.95,775.49
1918,835.1,705.50,749.95,775.49
1919,537.9,719.16,749.95,775.49
1920,764.5,703.59,749.95,775.49
1921,554.3,728.69,749.95,775.49
1922,691.5,733.88,749.95,775.49
1923,746.4,739.67,749.95,775.49
1924,738.7,715.96,749.95,775.49
1925,677.8,735.59,749.95,775.49
1926,940.5,750.95,749.95,775.49
1927,944.3,766.95,749.95,775.49
1928,705.3,756.59,749.95,775.49
1929,574.4,733.46,749.95,775.49
1930,753.8,742.53,749.95,775.49
1931,933.5,745.84,749.95,775.49
1932,730.3,736.77,749.95,775.49
1933,577.6,705.06,749.95,775.49
1934,491.9,708.51,749.95,775.49
1935,838.5,719.84,749.95,775.49
1936,714.2,721.38,749.95,775.49
1937,840.7,695.56,749.95,775.49
1938,595.6,684.72,749.95,775.49
1939,743.2,687.78,749.95,775.49
1940,699.0,719.02,749.95,775.49
1941,770.7,709.19,749.95,775.49
1942,649.5,688.50,749.95,775.49
1943,611.0,699.56,749.95,775.49
1944,611.3,702.14,749.95,775.49
1945,835.5,711.98,749.95,775.49
1946,730.4,717.25,749.95,775.49
1947,486.6,712.86,749.95,775.49
1948,962.4,711.58,749.95,775.49
1949,623.9,728.17,749.95,775.49
1950,851.4,745.30,749.95,775.49
1951,757.0,730.61,749.95,775.49
1952,722.4,733.22,749.95,775.49
1953,635.4,762.58,749.95,775.49
1954,793.5,711.42,749.95,775.49
1955,799.6,721.30,749.95,775.49
1956,674.0,723.29,749.95,775.49
1957,759.1,726.18,749.95,775.49
1958,809.6,715.18,749.95,775.49
1959,399.7,715.90,749.95,775.49
1960,732.6,709.29,749.95,775.49
1961,873.3,718.84,749.95,775.49
1962,788.8,733.61,749.95,775.49
1963,601.5,742.66,749.95,775.49
1964,643.4,725.25,749.95,775.49
1965,720.8,769.56,749.95,775.49
1966,904.7,755.84,749.95,775.49
1967,836.6,736.50,749.95,775.49
1968,858.5,719.69,749.95,775.49
1969,618.2,740.92,749.95,775.49
1970,887.0,744.94,749.95,775.49
1971,581.7,729.50,749.95,775.49
1972,660.5,711.49,749.95,775.49
1973,603.9,711.81,749.95,775.49
1974,834.9,695.64,749.95,775.49
1975,687.6,723.92,749.95,775.49
1976,550.9,728.63,749.95,775.49
1977,706.6,735.03,749.95,775.49
1978,840.1,742.09,749.95,775.49
1979,680.6,757.75,749.95,775.49
1980,929.3,743.05,749.95,775.49
1981,938.9,748.56,749.95,775.49
1982,652.1,777.05,749.95,775.49
1983,738.1,786.23,749.95,775.49
1984,776.2,775.81,749.95,775.49
1985,673.2,783.56,749.95,775.49
1986,748.2,762.88,749.95,775.49
1987,864.3,745.36,749.95,775.49
1988,807.6,768.51,749.95,775.49
1989,725.4,786.47,749.95,775.49
1990,765.9,793.28,749.95,775.49
1991,701.8,773.92,749.95,775.49
1992,746.1,771.14,749.95,775.49
1993,906.8,779.00,749.95,775.49
1994,935.7,762.56,749.95,775.49
1995,851.0,771.08,749.95,775.49
1996,460.2,781.47,749.95,775.49
1997,717.7,813.20,749.95,775.49
1998,950.8,797.65,749.95,775.49
1999,626.7,788.34,749.95,775.49
2000,819.0,770.53,749.95,775.49
2001,880.3,757.37,749.95,775.49
2002,1050.8,807.27,749.95,775.49
2003,575.1,822.84,749.95,775.49
2004,804.4,795.26,749.95,775.49
2005,739.9,815.08,749.95,775.49
2006,706.2,808.48,749.95,775.49
2007,1009.1,797.08,749.95,775.49
2008,888.9,767.14,749.95,775.49
2009,647.4,775.15,749.95,775.49
2010,844.8,775.97,749.95,775.49
2011,746.4,779.50,749.95,775.49
2012,754.9,796.78,749.95,775.49
2013,721.4,757.65,749.95,775.49
2014,663.2,743.24,749.95,775.49
2015,813.4,749.71,749.95,775.49
2016,778.7,738.57,749.95,775.49
2017,896.2,-,749.95,775.49
2018,578.8,-,749.95,775.49
2019,730.4,-,749.95,775.49
2020,718.5,-,749.95,775.49
2021,722.3,-,749.95,775.49
