Jahr,Hydrologischer Winter in l/m²,Hydrologischer Sommer in l/m²,gleitende 11-Jahressumme des hydrologischen Sommers in l/m²,gleitende 11-Jahressumme des hydrologischen Winters in l/m²
1881,x,420.03,x,x
1882,-241.59,381.84,x,x
1883,-223.11,345.18,x,x
1884,-330.65,430.27,x,x
1885,-312.21,384.97,x,x
1886,-240.70,287.97,405.18,-261.51
1887,-172.30,334.72,396.13,-262.48
1888,-310.77,438.26,396.43,-260.44
1889,-272.86,531.67,408.44,-268.88
1890,-232.03,492.45,410.89,-261.47
1891,-278.90,409.58,416.36,-263.09
1892,-272.21,320.50,429.34,-264.29
1893,-219.07,385.14,432.45,-282.93
1894,-315.95,477.35,419.85,-280.86
1895,-249.21,457.17,407.75,-281.00
1896,-330.04,445.11,395.24,-283.74
1897,-253.90,430.77,399.08,-293.56
1898,-377.26,369.00,416.13,-294.67
1899,-288.07,299.66,406.18,-300.84
1900,-274.41,398.54,401.50,-299.53
1901,-262.16,354.80,390.83,-307.02
1902,-386.86,451.80,380.16,-299.52
1903,-284.47,508.10,371.55,-304.00
1904,-286.94,275.70,371.93,-287.56
1905,-301.53,425.90,386.39,-294.12
1906,-331.60,339.70,375.99,-295.68
1907,-247.54,327.80,382.32,-301.10
1908,-303.15,336.00,364.75,-295.92
1909,-196.45,373.20,361.55,-304.25
1910,-360.18,458.80,367.24,-307.82
1911,-291.65,284.10,369.91,-319.68
1912,-321.76,424.40,371.43,-315.46
1913,-329.88,258.50,385.44,-325.07
1914,-376.08,473.00,378.33,-322.98
1915,-326.25,338.20,378.45,-340.57
1916,-431.97,455.30,364.05,-330.91
1917,-285.19,356.40,369.69,-335.78
1918,-353.20,481.90,374.55,-330.94
1919,-280.13,257.80,393.74,-325.43
1920,-389.96,374.50,388.13,-315.47
1921,-253.91,300.40,405.25,-323.44
1922,-345.27,346.20,419.54,-314.34
1923,-268.52,477.90,423.98,-315.69
1924,-269.20,469.50,408.64,-307.33
1925,-266.53,411.30,430.92,-304.67
1926,-413.93,526.60,452.03,-298.93
1927,-331.91,612.40,469.94,-297.01
1928,-299.98,405.30,472.34,-284.26
1929,-261.27,313.10,455.31,-278.15
1930,-250.89,502.90,458.74,-283.80
1931,-326.77,606.70,456.15,-289.68
1932,-232.85,497.40,445.64,-291.13
1933,-204.98,372.60,420.39,-284.67
1934,-201.32,290.60,416.91,-291.60
1935,-331.33,507.20,421.12,-298.72
1936,-331.30,382.90,416.03,-305.35
1937,-429.82,410.90,399.30,-296.26
1938,-260.85,334.70,385.74,-298.99
1939,-376.18,367.00,379.28,-308.50
1940,-339.62,359.40,392.08,-326.94
1941,-323.83,446.90,382.91,-326.28
1942,-226.78,422.70,370.83,-317.67
1943,-262.84,348.20,380.06,-319.50
1944,-309.65,301.60,382.36,-319.78
1945,-404.14,431.40,386.17,-325.81
1946,-324.09,406.30,387.74,-329.51
1947,-236.59,250.00,386.41,-326.45
1948,-449.93,512.50,382.69,-328.89
1949,-263.91,360.00,403.32,-324.85
1950,-442.53,408.90,414.23,-331.07
1951,-380.35,376.60,409.37,-321.24
1952,-290.12,432.30,412.63,-320.59
1953,-253.63,381.80,434.21,-328.37
1954,-218.44,575.10,407.04,-304.38
1955,-378.03,421.60,420.92,-300.38
1956,-296.02,378.00,423.16,-300.12
1957,-316.95,442.10,424.64,-301.54
1958,-322.17,487.40,423.67,-291.51
1959,-186.07,213.60,423.33,-292.58
1960,-219.88,512.70,411.89,-297.40
1961,-439.69,433.60,410.65,-308.19
1962,-395.95,392.80,413.11,-320.51
1963,-179.76,421.70,422.25,-320.40
1964,-265.38,378.00,404.81,-320.45
1965,-271.47,449.30,430.15,-339.41
1966,-496.79,407.90,416.42,-339.42
1967,-431.45,405.10,414.51,-321.99
1968,-315.80,542.70,412.45,-307.24
1969,-322.66,295.50,417.85,-323.06
1970,-394.72,492.30,408.16,-336.77
1971,-220.00,361.70,390.53,-338.97
1972,-247.87,412.60,383.80,-327.69
1973,-233.73,370.20,391.11,-320.70
1974,-353.83,481.10,373.44,-322.20
1975,-416.20,271.40,397.85,-326.07
1976,-295.61,255.30,399.35,-329.29
1977,-372.71,333.90,396.52,-338.52
1978,-354.55,485.50,384.16,-357.93
1979,-332.33,348.30,389.95,-367.80
1980,-365.17,564.10,381.59,-361.46
1981,-430.15,508.70,392.09,-356.47
1982,-321.52,330.60,413.23,-363.83
1983,-461.40,276.70,417.43,-368.81
1984,-342.30,433.90,409.06,-366.74
1985,-284.12,389.10,417.17,-366.39
1986,-361.33,386.90,402.06,-360.82
1987,-376.50,487.80,384.70,-360.66
1988,-427.49,380.10,404.85,-363.65
1989,-331.87,393.50,419.04,-367.44
1990,-328.42,437.50,409.81,-383.47
1991,-303.87,397.90,403.25,-370.67
1992,-428.43,317.70,406.25,-364.90
1993,-354.46,552.30,413.63,-365.38
