Jahr,Trockenperioden 10-14 Tage (Anzahl),Trockenperioden bis 3 Wochen (Anzahl),Trockenperioden bis 4 Wochen (Anzahl),Trockenperioden bis 5 Wochen (Anzahl),Trockenperioden über 5 Wochen (Anzahl),Tage innerhalb von Trockenperioden (Anzahl)
1961,3,2,0,0,0,72
1962,1,1,0,0,0,31
1963,2,1,0,1,0,70
1964,3,0,1,0,0,62
1965,2,1,0,0,0,44
1966,4,1,0,0,0,61
1967,4,1,0,0,0,63
1968,1,1,2,0,0,72
1969,1,0,1,1,0,71
1970,4,0,1,0,0,69
1971,3,2,1,0,0,86
1972,3,0,0,0,0,40
1973,1,3,1,0,0,85
1974,1,1,0,0,1,74
1975,1,1,1,0,1,88
1976,1,1,2,1,0,110
1977,2,4,0,0,0,88
1978,4,1,0,0,0,67
1979,3,2,0,0,0,64
1980,2,1,1,0,0,66
1981,1,1,2,0,0,73
1982,0,5,0,0,0,92
1983,2,0,0,2,0,86
1984,2,0,2,0,0,71
1985,2,1,0,0,0,44
1986,4,2,1,0,0,103
1987,1,0,0,0,0,12
1988,6,0,0,0,0,76
1989,3,3,1,0,0,107
1990,3,2,0,0,0,67
1991,3,2,0,0,0,74
1992,1,1,0,0,1,63
1993,4,1,0,0,0,57
1994,1,1,0,0,1,75
1995,1,3,0,0,1,101
1996,4,1,2,0,0,115
1997,0,2,1,1,0,96
1998,1,2,0,0,0,47
1999,2,0,3,0,0,98
2000,2,3,0,0,0,71
2001,2,1,0,0,0,42
2002,1,1,2,0,0,77
2003,2,3,2,0,0,121
2004,3,2,0,0,0,72
2005,3,2,0,0,1,106
2006,2,3,1,0,0,103
2007,1,1,0,0,1,70
2008,2,0,0,0,1,67
2009,2,3,0,1,0,102
2010,1,3,0,0,0,61
2011,1,0,1,1,0,68
2012,3,1,0,0,0,51
2013,4,0,1,1,0,99
2014,5,1,1,0,0,100
2015,3,2,0,0,0,65
2016,3,1,0,0,0,55
2017,0,3,0,0,0,52
2018,0,2,0,2,0,94
2019,4,1,1,0,0,86
2020,4,1,1,1,0,118
2021,2,1,1,0,0,64
