Jahr,Jahressumme in °C,G11JM in°C
1951,1734.29
1952,1548.56
1953,1604.30
1954,1446.05
1955,1686.60
1956,1563.23,1594.64
1957,1629.76,1555.43
1958,1461.41,1546.77
1959,1936.67,1541.68
1960,1451.86,1544.64
1961,1478.36,1517.28
1962,1302.95,1512.86
1963,1453.28,1510.69
1964,1548.32,1514.89
1965,1478.64,1478.94
1966,1385.61,1491.32
1967,1514.64,1500.63
1968,1605.87,1534.29
1969,1507.55,1542.70
1970,1541.23,1564.60
1971,1588.03,1592.58
1972,1580.79,1593.01
1973,1673.26,1578.70
1974,1545.80,1560.33
1975,1789.17,1562.64
1976,1786.42,1547.16
1977,1390.39,1553.19
1978,1357.21,1547.12
1979,1403.74,1517.79
1980,1532.98,1502.35
1981,1370.96,1481.18
1982,1654.40,1440.51
1983,1513.97,1436.89
1984,1350.64,1468.23
1985,1375.98,1480.34
1986,1556.34,1489.67
1987,1339.03,1514.99
1988,1350.51,1496.52
1989,1701.94,1508.40
1990,1536.98,1545.71
1991,1635.66,1560.15
1992,1649.43,1569.12
1993,1451.25,1565.61
1994,1644.59,1593.82
1995,1761.12,1568.13
1996,1534.75,1556.11
1997,1655.05,1541.91
1998,1300.48,1567.66
1999,1660.72,1576.42
2000,1419.36,1588.87
2001,1404.84,1579.28
2002,1479.47,1581.49
2003,1932.65,1579.62
2004,1547.58,1619.69
2005,1781.50,1607.62
2006,1655.71,1627.35
2007,1559.02,1636.63
2008,1634.47,1644.95
2009,1741.28,1619.87
2010,1527.89,1628.61
2011,1636.40,1607.03
2012,1506.93,1590.56
2013,1571.05,1627.85
2014,1656.72,1633.53
2015,1643.73,1641.59
2016,1544.12,1638.53
2017,1474.50
2018,1969.21
2019,1697.02
2020,1829.89
2021,1494.30
