Jahr,Jahresmittel in °C,Mittel 1961-1990 °C,Mittel 1991-2020 in °C
1881,7.4,8.81,9.79
1882,8.9,8.81,9.79
1883,8.4,8.81,9.79
1884,9.1,8.81,9.79
1885,7.9,8.81,9.79
1886,8.1,8.81,9.79
1887,7.6,8.81,9.79
1888,7.1,8.81,9.79
1889,8,8.81,9.79
1890,7.9,8.81,9.79
1891,8,8.81,9.79
1892,7.6,8.81,9.79
1893,8.3,8.81,9.79
1894,8.8,8.81,9.79
1895,7.8,8.81,9.79
1896,8.4,8.81,9.79
1897,8.4,8.81,9.79
1898,8.9,8.81,9.79
1899,8.8,8.81,9.79
1900,8.8,8.81,9.79
1901,8.3,8.81,9.79
1902,7.4,8.81,9.79
1903,8.9,8.81,9.79
1904,8.7,8.81,9.79
1905,8.5,8.81,9.79
1906,9,8.81,9.79
1907,8.2,8.81,9.79
1908,8.3,8.81,9.79
1909,7.9,8.81,9.79
1910,9.3,8.81,9.79
1911,9.7,8.81,9.79
1912,8.4,8.81,9.79
1913,9.3,8.81,9.79
1914,9.6,8.81,9.79
1915,8.1,8.81,9.79
1916,8.6,8.81,9.79
1917,8.2,8.81,9.79
1918,8.9,8.81,9.79
1919,7.6,8.81,9.79
1920,9,8.81,9.79
1921,9.6,8.81,9.79
1922,7.6,8.81,9.79
1923,8.1,8.81,9.79
1924,8,8.81,9.79
1925,8.9,8.81,9.79
1926,9.2,8.81,9.79
1927,8.3,8.81,9.79
1928,8.5,8.81,9.79
1929,7.5,8.81,9.79
1930,9.1,8.81,9.79
1931,8.1,8.81,9.79
1932,9,8.81,9.79
1933,8.5,8.81,9.79
1934,10,8.81,9.79
1935,8.8,8.81,9.79
1936,8.6,8.81,9.79
1937,8.7,8.81,9.79
1938,9.3,8.81,9.79
1939,8.9,8.81,9.79
1940,6.8,8.81,9.79
1941,7.4,8.81,9.79
1942,7.3,8.81,9.79
1943,9.2,8.81,9.79
1944,8.9,8.81,9.79
1945,9.3,8.81,9.79
1946,8.6,8.81,9.79
1947,8.3,8.81,9.79
1948,9.3,8.81,9.79
1949,9.6,8.81,9.79
1950,9,8.81,9.79
1951,9.1,8.81,9.79
1952,8.2,8.81,9.79
1953,9.6,8.81,9.79
1954,8.1,8.81,9.79
1955,8.1,8.81,9.79
1956,7.5,8.81,9.79
1957,9.2,8.81,9.79
1958,8.6,8.81,9.79
1959,9.6,8.81,9.79
1960,8.8,8.81,9.79
1961,9.4,8.81,9.79
1962,7.7,8.81,9.79
1963,7.6,8.81,9.79
1964,8.4,8.81,9.79
1965,8,8.81,9.79
1966,8.7,8.81,9.79
1967,9.6,8.81,9.79
1968,8.9,8.81,9.79
1969,8.3,8.81,9.79
1970,8.1,8.81,9.79
1971,9.2,8.81,9.79
1972,8.5,8.81,9.79
1973,9,8.81,9.79
1974,9.4,8.81,9.79
1975,9.7,8.81,9.79
1976,9,8.81,9.79
1977,9.2,8.81,9.79
1978,8.5,8.81,9.79
1979,7.9,8.81,9.79
1980,8.2,8.81,9.79
1981,8.7,8.81,9.79
1982,9.4,8.81,9.79
1983,9.8,8.81,9.79
1984,8.7,8.81,9.79
1985,8,8.81,9.79
1986,8.4,8.81,9.79
1987,7.8,8.81,9.79
1988,9.7,8.81,9.79
1989,10.2,8.81,9.79
1990,10.3,8.81,9.79
1991,9,8.81,9.79
1992,10.1,8.81,9.79
1993,8.8,8.81,9.79
1994,10,8.81,9.79
1995,9.5,8.81,9.79
1996,7.6,8.81,9.79
1997,9.5,8.81,9.79
1998,9.6,8.81,9.79
1999,10.4,8.81,9.79
2000,10.3,8.81,9.79
2001,9.3,8.81,9.79
2002,10,8.81,9.79
2003,9.7,8.81,9.79
2004,9.6,8.81,9.79
2005,9.7,8.81,9.79
2006,10.4,8.81,9.79
2007,10.4,8.81,9.79
2008,10.2,8.81,9.79
2009,9.7,8.81,9.79
2010,8.1,8.81,9.79
2011,9.9,8.81,9.79
2012,9.3,8.81,9.79
2013,9.2,8.81,9.79
2014,10.9,8.81,9.79
2015,10.2,8.81,9.79
2016,9.9,8.81,9.79
2017,9.9,8.81,9.79
2018,10.7,8.81,9.79
2019,10.7,8.81,9.79
2020,10.9,8.81,9.79
2021,9.8,8.81,9.79
