Jahr,Gleitendes 11-Jahres-Mittel Frühling,Gleitendes 11-Jahres-Mittel Sommer,Gleitendes 11-Jahres-Mittel Herbst,Gleitendes 11-Jahres-Mittel Winter
1881,x,x,x,x
1882,x,x,x,x
1883,x,x,x,x
1884,x,x,x,x
1885,x,x,x,x
1886,-0.8,-0.5,-0.9,-0.8
1887,-0.7,-0.5,-0.9,-1.1
1888,-0.8,-0.5,-0.9,-1.1
1889,-0.5,-0.5,-1.0,-1.5
1890,-0.5,-0.5,-1.0,-1.6
1891,-0.4,-0.4,-0.9,-1.6
1892,-0.3,-0.3,-1.1,-1.3
1893,-0.3,-0.4,-1.0,-0.9
1894,-0.1,-0.2,-0.8,-0.8
1895,-0.3,-0.2,-0.7,-0.9
1896,-0.3,0.0,-0.6,-0.6
1897,-0.3,0.0,-0.8,-0.5
1898,-0.2,-0.1,-0.7,-0.3
1899,-0.3,-0.1,-0.7,-0.2
1900,-0.4,0.0,-0.8,0.1
1901,-0.4,0.0,-0.7,0.0
1902,-0.4,-0.2,-0.6,0.2
1903,-0.5,-0.2,-0.6,-0.1
1904,-0.5,-0.3,-0.6,-0.2
1905,-0.4,-0.3,-0.7,0.0
1906,-0.2,-0.2,-0.6,0.2
1907,-0.1,-0.3,-0.8,0.3
1908,0.1,-0.3,-0.6,0.4
1909,0.2,-0.1,-0.6,0.6
1910,0.1,-0.1,-0.7,0.6
1911,0.1,-0.3,-0.6,0.4
1912,-0.1,-0.2,-0.7,0.6
1913,0.1,-0.1,-0.8,0.6
1914,0.1,-0.2,-0.8,0.8
1915,0.4,-0.2,-1.0,0.8
1916,0.5,-0.2,-1.0,0.5
1917,0.4,-0.4,-1.3,0.7
1918,0.4,-0.5,-1.1,0.3
1919,0.2,-0.5,-1.2,0.4
1920,0.2,-0.5,-1.3,0.3
1921,0.3,-0.5,-1.2,0.3
1922,0.3,-0.4,-1.2,0.4
1923,0.4,-0.7,-1.2,-0.1
1924,0.2,-0.6,-1.0,0.0
1925,0.2,-0.5,-0.8,-0.2
1926,0.0,-0.5,-0.8,-0.3
1927,-0.3,-0.4,-0.7,-0.1
1928,-0.2,-0.2,-0.5,-0.3
1929,-0.1,-0.1,-0.4,0.2
1930,-0.1,0.0,-0.4,0.0
1931,-0.2,0.0,-0.3,0.0
1932,-0.2,0.1,-0.3,-0.1
1933,-0.2,0.1,-0.2,0.0
1934,-0.2,0.3,-0.3,-0.1
1935,-0.1,0.4,-0.4,-0.6
1936,-0.3,0.4,-0.5,-0.9
1937,-0.4,0.4,-0.4,-0.9
1938,-0.2,0.3,-0.4,-0.8
1939,-0.3,0.3,-0.4,-0.8
1940,-0.3,0.3,-0.5,-0.9
1941,-0.1,0.2,-0.6,-1.5
1942,0.0,0.4,-0.4,-1.4
1943,0.0,0.3,-0.4,-1.3
1944,0.1,0.2,-0.3,-1.2
1945,0.2,0.2,-0.3,-0.6
1946,0.1,0.2,-0.2,-0.2
1947,0.4,0.2,-0.3,0.2
1948,0.6,0.3,-0.3,-0.1
1949,0.5,0.2,-0.2,-0.3
1950,0.3,0.1,-0.2,-0.5
1951,0.1,0.0,-0.2,-0.3
1952,0.0,0.0,-0.2,0.2
1953,-0.2,-0.2,-0.1,0.2
1954,-0.1,0.0,-0.2,0.1
1955,-0.1,0.0,-0.3,0.0
1956,-0.1,-0.1,-0.1,0.1
1957,-0.2,-0.3,-0.2,-0.5
1958,-0.2,-0.3,0.1,-0.6
